name,url,price,img,brand,code
Spring Break,http://www.koovs.com/spring-break-maroon-and-white-striped-off-shoulder-shirt-dress-83758.html,1090,http://images.koovscdn.com/uploads/products/83758_3d1a1fd7b30277f7ce88d3ee70d954bd_image1_zoom.jpg,Spring Break,83758
Spring Break,http://www.koovs.com/spring-break-sequins-sleeve-black-tshirt-dress-85329.html,1190,http://images.koovscdn.com/uploads/products/85329_2dfc32ad2eb40b93f64df1075d6442d7_image1_zoom.jpg,Spring Break,85329
Spring Break,http://www.koovs.com/spring-break--striped-blue-and-white-frill--tie-up-top-88660.html,990,http://images.koovscdn.com/uploads/products/88660_c7008badf46fe9fc26f46f31e7ef9b17_image1_zoom.jpg,Spring Break,88660
Spring Break,http://www.koovs.com/spring-break-good-vibes-only-cropped-bomber-87533.html,1195,http://images.koovscdn.com/uploads/products/87533_1666f265292df7b1feff4653f79e4385_image1_zoom.jpg,Spring Break,87533
Spring Break,http://www.koovs.com/spring-break-west-coast-longline-mesh-top-85564.html,1190,http://images.koovscdn.com/uploads/products/85564_4d016a830d1f3c4ff42e58985c23277b_image1_zoom.jpg,Spring Break,85564
Spring Break,http://www.koovs.com/spring-break-never-look-back-slogan-mesh-top-85565.html,694,http://images.koovscdn.com/uploads/products/85565_8de94daa3a2aa9567ba4ae333af0f687_image1_zoom.jpg,Spring Break,85565
Spring Break,http://www.koovs.com/spring-break-good-vibes-only-denim-shirt-87532.html,1090,http://images.koovscdn.com/uploads/products/87532_0fa1763461cc058072088fd816fcb50b_image1_zoom.jpg,Spring Break,87532
Spring Break,http://www.koovs.com/spring-break-frill-tie-up-dress-87539.html,1190,http://images.koovscdn.com/uploads/products/87539_e363e3c609ee18767d1e284cb02f78f0_image1_zoom.jpg,Spring Break,87539
Spring Break,http://www.koovs.com/spring-break-stripe-off-shoulder-shirt-dress-85334.html,904,http://images.koovscdn.com/uploads/products/85334_963b7a042e742caa4df7987a9ca6f3ff_image1_zoom.jpg,Spring Break,85334
Spring Break,http://www.koovs.com/spring-break-foil-print-t-shirt-dress-81341.html,990,http://images.koovscdn.com/uploads/products/81341_4942fad68ba20a738c04958617f65ae4_image1_zoom.jpg,Spring Break,81341
Spring Break,http://www.koovs.com/spring-break-frill-tie-up-dress_477-87540.html,1190,http://images.koovscdn.com/uploads/products/87540_f3a7a3126e32fb88351653972ece1ebc_image1_zoom.jpg,Spring Break,87540
Spring Break,http://www.koovs.com/spring-break-aeroplane--cloud-aop-hoodie-85336.html,1120,http://images.koovscdn.com/uploads/products/85336_bca79043782c5f8430c592c8516975d1_image1_zoom.jpg,Spring Break,85336
Spring Break,http://www.koovs.com/spring-break-pink-raglan-t-shirt-81021.html,600,http://images.koovscdn.com/uploads/products/81021_a3e03d3b355b85a269427770de456e1a_image1_zoom.jpg,Spring Break,81021
Spring Break,http://www.koovs.com/spring-break-camouflage-printed-joggers-81022.html,1190,http://images.koovscdn.com/uploads/products/81022_c419cd076b5a12b66064ce7f5294416c_image1_zoom.jpg,Spring Break,81022
Spring Break,http://www.koovs.com/spring-break-triangle-aop-longline-cardigan-85332.html,1090,http://images.koovscdn.com/uploads/products/85332_c352211afa51e7fac049f6a1bb7f1231_image1_zoom.jpg,Spring Break,85332
Spring Break,http://www.koovs.com/spring-break-denim-joggers-with-print-on-side-85561.html,1390,http://images.koovscdn.com/uploads/products/85561_0a5fc880fa794648993ab1bd355dd3eb_image1_zoom.jpg,Spring Break,85561
Spring Break,http://www.koovs.com/spring-break-mood-slogan-patchwork-tee-83829.html,900,http://images.koovscdn.com/uploads/products/83829_00bca44248d0b1ed99e335ad1ae393bb_image1_zoom.jpg,Spring Break,83829
Spring Break,http://www.koovs.com/spring-break-blue--white-striped-pants-83761.html,1190,http://images.koovscdn.com/uploads/products/83761_08f53e742b0530b70ba9bd9f922b1073_image1_zoom.jpg,Spring Break,83761
Spring Break,http://www.koovs.com/spring-break-seqiuins-gold--white-tshirt-dress-85328.html,1590,http://images.koovscdn.com/uploads/products/85328_e64bd8da3ae9b0f4c781adb9787326ec_image1_zoom.jpg,Spring Break,85328
